name,cast_rating,,,
The Silence of the Lambs,0.5949158617435550,,,
The Sound of Music,0.5948166118578360,,,
What's Love Got to Do with It,0.5946630642354810,,,
The Nightmare Before Christmas,0.59459576277657,,,
Second Best,0.5945349192638150,,,
The Frighteners,0.5943997647948540,,,
The Shaggy Dog,0.5943593372983320,,,
Heavy,0.5943043538383020,,,
Die Hard: With a Vengeance,0.5942782884909350,,,
Les parapluies de Cherbourg,0.5942379838429310,,,
Mixed Nuts,0.5941108397158110,,,
Two Bits,0.5940990880097650,,,
North Star,0.5940875046929960,,,
Amadeus,0.5939859434621380,,,
Drop Dead Fred,0.59385566029903,,,
Captives,0.5938475484022110,,,
Dangerous Minds,0.5938339969557690,,,
Johnny Mnemonic,0.5936839966514510,,,
One Flew Over the Cuckoo's Nest,0.5935663955578270,,,
The Paper,0.5935584581235000,,,
Jefferson in Paris,0.5935462738147420,,,
Sgt. Bilko,0.5934089167063120,,,
Mighty Aphrodite,0.5933904668589860,,,
Hostile Intentions,0.5933597210571990,,,
Dumbo,0.5933008774492970,,,
Country Life,0.5931352121757180,,,
Desperado,0.5931337865030590,,,
Death and the Maiden,0.5931266904664420,,,
Grosse fatigue,0.5929707409978960,,,
The Fox and the Hound,0.5928396778441210,,,
Bed of Roses,0.5927628868600730,,,
Somewhere in Time,0.5926071766405880,,,
Kiss of Death,0.5925873470235810,,,
Liebelei,0.592587199544109,,,
Alien,0.592571862381493,,,
The Return of the Pink Panther,0.5923929697357890,,,
An Affair to Remember,0.5922978893380920,,,
The Great Dictator,0.5922681396782250,,,
When Harry Met Sally...,0.5921812817346800,,,
Dunston Checks In,0.5921713803618680,,,
Waterworld,0.5921415712648680,,,
Germinal,0.5919816509164340,,,
Bonnie and Clyde,0.5919202232815490,,,
When a Man Loves a Woman,0.5918235449657490,,,
Nikita,0.591656000527774,,,
Jurassic Park,0.5916433227360110,,,
Sophie's Choice,0.5916100879808330,,,
Trust,0.5915822987304430,,,
Escape from L.A.,0.5915173769094600,,,
North by Northwest,0.5914364647303150,,,
The Specialist,0.5912918417924210,,,
Der bewegte Mann,0.5912432959856860,,,
Mitt liv som hund,0.5911473631858830,,,
Some Folks Call It a Sling Blade,0.5910510290544890,,,
Princess Caraboo,0.5910089663214610,,,
Meet John Doe,0.5908543642676560,,,
Milk Money,0.5907957760343560,,,
The Rich Man's Wife,0.5906586921768490,,,
The Island of Dr. Moreau,0.5905720323438900,,,
Roommates,0.5903364509270150,,,
The Young Poisoner's Handbook,0.5902692394436070,,,
The Road to Wellville,0.5900735375387540,,,
Barcelona,0.5900729885359670,,,
Heaven & Earth,0.5898658433355620,,,
Something to Sing About,0.5897701113697060,,,
Flipper,0.589744433392308,,,
Malice,0.5894920191924190,,,
Fantasia,0.5892666578292850,,,
The Proprietor,0.589219468050136,,,
Mr. Wonderful,0.5891972586927330,,,
An Awfully Big Adventure,0.5890671748462300,,,
While You Were Sleeping,0.5890585300270230,,,
The Secret Garden,0.5890005157031420,,,
Margaret's Museum,0.5889104953212030,,,
The Woman in Question,0.5888097417456200,,,
Top Gun,0.5887484512139780,,,
Heavy Metal,0.5886602605764640,,,
Jude,0.5885473307830860,,,
The Juror,0.5884699074771140,,,
Bulletproof,0.5883935628216850,,,
Clear and Present Danger,0.5882742794566120,,,
Bliss,0.5882507340978490,,,
Bad Boys,0.5881112681429390,,,
Mr. Wrong,0.5881022969244790,,,
Paths of Glory,0.5880996841389180,,,
A Midwinter's Tale,0.5879659334764330,,,
Another Stakeout,0.5879360126126410,,,
Death in Brunswick,0.5878833532333370,,,
The Shawshank Redemption,0.5878049540592950,,,
James and the Giant Peach,0.587731501653718,,,
Wild Bill,0.5876337088148740,,,
Party Girl,0.587512089576844,,,
Virtuosity,0.5874174387865550,,,
The NeverEnding Story III,0.5874101408938690,,,
Ed,0.5872742143066170,,,
Kids,0.5871792078490570,,,
Snow White and the Seven Dwarfs,0.5871371030807500,,,
Strange Days,0.5870769648834780,,,
La flor de mi secreto,0.5869823753807700,,,
Clueless,0.5867704478757480,,,
This Is Spinal Tap,0.5866432055418040,,,
Little Lord Fauntleroy,0.5865153250364170,,,
Daens,0.5865055585970360,,,
Restoration,0.5864788154881010,,,
Fresh,0.5864552127976600,,,
Fearless,0.5864392475862500,,,
Local Hero,0.5864014786922820,,,
The Lion King,0.5863641903837270,,,
Black Beauty,0.5860021259116920,,,
Disclosure,0.5859348644107880,,,
Miller's Crossing,0.5858238474791220,,,
Up in Smoke,0.585703213973097,,,
Rising Sun,0.5857023386976340,,,
Safe Passage,0.5854979654077720,,,
Miracle on 34th Street,0.5853631152455320,,,
The Grass Harp,0.5853023993406510,,,
Castle Freak,0.5852200888664970,,,
Man of the House,0.5851340610871950,,,
Ri¢hie Ri¢h,0.5850698589011810,,,
The First Wives Club,0.5848653082403270,,,
Terminator 2: Judgment Day,0.5848553088745570,,,
The Hunted,0.5847957139654300,,,
A Little Princess,0.5847606514474140,,,
Live Nude Girls,0.5846348598463680,,,
The Usual Suspects,0.5845065872310450,,,
The Mask,0.5844122885296810,,,
The Prophecy,0.5843904021115290,,,
Johns,0.5842976244161930,,,
Blue Chips,0.5839738580399540,,,
Mr. Holland's Opus,0.5839293903892580,,,
Picture Bride,0.5839061649053480,,,
The Run of the Country,0.5837522362933850,,,
Heidi Fleiss: Hollywood Madam,0.5836943332607800,,,
Peanuts – Die Bank zahlt alles,0.5834854939930220,,,
Shallow Grave,0.5833085138131960,,,
La double vie de Véronique,0.5832893896357170,,,
Alaska,0.583277766607157,,,
Last Dance,0.5832363744777040,,,
The Spitfire Grill,0.5831953113787440,,,
She's the One,0.5831018610331170,,,
Daylight,0.5828708614514420,,,
Executive Decision,0.5828018827403490,,,
GoodFellas,0.5827675035598080,,,
The Chamber,0.5825311127306560,,,
Walking and Talking,0.582530216071826,,,
Matilda,0.5823573742327930,,,
The Fog,0.5823274135402250,,,
Some Kind of Wonderful,0.5822955207599180,,,
Schrei aus Stein,0.5821520637181930,,,
Tank Girl,0.5820360665757320,,,
The Getaway,0.5819304278326980,,,
Muppet Treasure Island,0.5817978481233400,,,
Menace II Society,0.5817530237437910,,,
Das Superweib,0.5817152598938120,,,
The Scout,0.5815858536132070,,,
Sleepers,0.5815791380022870,,,
That Thing You Do!,0.5813448184101410,,,
Kaspar Hauser,0.5812737738380080,,,
Shadowlands,0.5812725012218650,,,
Set It Off,0.581151900171501,,,
Georgia,0.5808872737367370,,,
Clockers,0.5808499823215180,,,
Moonlight and Valentino,0.5808418568196680,,,
Friday,0.5807662233050450,,,
Fried Green Tomatoes,0.5807521342383000,,,
GoldenEye,0.580526858573154,,,
Jack & Sarah,0.5804468527833520,,,
Naked,0.5804340522934200,,,
Beautiful Girls,0.5804066817560230,,,
Raw Deal,0.5803238244178030,,,
Phenomenon,0.5801715318082340,,,
The Flintstones,0.5801206301577960,,,
The New Age,0.5800870867226490,,,
Mary Poppins,0.5799761891433600,,,
삼공일 삼공이,0.5799546241760250,,,
Le confessionnal,0.57981462834869,,,
Poetic Justice,0.5795432993133480,,,
Judgment Night,0.579542459578141,,,
Drunks,0.5794333182025190,,,
Gone Fishin',0.5793434744248650,,,
The Shining,0.5793412292486040,,,
アキラ,0.5792902471582190,,,
Crossfire,0.5792122682792570,,,
